"","edgeid","author","mentioned","degree_author","weight","vertexid","x","y","order"
"63",32,"@AndiScheuer","@bueti",29,1,2,0.99026806874157,0.139173100960065,"1"
"64",32,"@AndiScheuer","@bueti",29,1,7,0.669130606358858,0.743144825477394,"2"
"65",33,"@AndiScheuer","@c_lindner",29,6,2,0.99026806874157,0.139173100960065,"1"
"66",33,"@AndiScheuer","@c_lindner",29,6,8,0.559192903470747,0.829037572555042,"2"
"67",34,"@AndiScheuer","@cem_oezdemir",29,66,2,0.99026806874157,0.139173100960065,"1"
"68",34,"@AndiScheuer","@cem_oezdemir",29,66,10,0.309016994374947,0.951056516295154,"2"
"69",35,"@AndiScheuer","@FlorianPronold",29,12,2,0.99026806874157,0.139173100960065,"1"
"70",35,"@AndiScheuer","@FlorianPronold",29,12,12,0.0348994967025011,0.999390827019096,"2"
"71",36,"@AndiScheuer","@GoeringEckardt",29,20,2,0.99026806874157,0.139173100960065,"1"
"72",36,"@AndiScheuer","@GoeringEckardt",29,20,13,-0.104528463267654,0.994521895368273,"2"
"73",37,"@AndiScheuer","@HanneloreKraft",29,4,2,0.99026806874157,0.139173100960065,"1"
"74",37,"@AndiScheuer","@HanneloreKraft",29,4,16,-0.5,0.866025403784439,"2"
"75",38,"@AndiScheuer","@hubertus_heil",29,18,2,0.99026806874157,0.139173100960065,"1"
"76",38,"@AndiScheuer","@hubertus_heil",29,18,17,-0.615661475325658,0.788010753606722,"2"
"77",39,"@AndiScheuer","@JTrittin",29,14,2,0.99026806874157,0.139173100960065,"1"
"78",39,"@AndiScheuer","@JTrittin",29,14,18,-0.719339800338651,0.694658370458997,"2"
"79",40,"@AndiScheuer","@juergenhardt",29,3,2,0.99026806874157,0.139173100960065,"1"
"80",40,"@AndiScheuer","@juergenhardt",29,3,19,-0.809016994374947,0.587785252292473,"2"
"81",41,"@AndiScheuer","@JuliaKloeckner",29,126,2,0.99026806874157,0.139173100960065,"1"
"82",41,"@AndiScheuer","@JuliaKloeckner",29,126,20,-0.882947592858927,0.469471562785891,"2"
"83",42,"@AndiScheuer","@katjakipping",29,13,2,0.99026806874157,0.139173100960065,"1"
"84",42,"@AndiScheuer","@katjakipping",29,13,21,-0.939692620785908,0.342020143325669,"2"
"85",43,"@AndiScheuer","@Markus_Soeder",29,4,2,0.99026806874157,0.139173100960065,"1"
"86",43,"@AndiScheuer","@Markus_Soeder",29,4,23,-0.997564050259824,0.0697564737441255,"2"
"87",44,"@AndiScheuer","@MartinSchulz",29,10,2,0.99026806874157,0.139173100960065,"1"
"88",44,"@AndiScheuer","@MartinSchulz",29,10,24,-0.997564050259824,-0.0697564737441253,"2"
"89",45,"@AndiScheuer","@MGrosseBroemer",29,69,2,0.99026806874157,0.139173100960065,"1"
"90",45,"@AndiScheuer","@MGrosseBroemer",29,69,26,-0.939692620785908,-0.342020143325669,"2"
"91",46,"@AndiScheuer","@nouripour",29,14,2,0.99026806874157,0.139173100960065,"1"
"92",46,"@AndiScheuer","@nouripour",29,14,27,-0.882947592858927,-0.469471562785891,"2"
"93",47,"@AndiScheuer","@OlafScholz",29,14,2,0.99026806874157,0.139173100960065,"1"
"94",47,"@AndiScheuer","@OlafScholz",29,14,29,-0.719339800338651,-0.694658370458997,"2"
"95",48,"@AndiScheuer","@peter_simone",29,7,2,0.99026806874157,0.139173100960065,"1"
"96",48,"@AndiScheuer","@peter_simone",29,7,30,-0.615661475325658,-0.788010753606722,"2"
"97",49,"@AndiScheuer","@peteraltmaier",29,6,2,0.99026806874157,0.139173100960065,"1"
"98",49,"@AndiScheuer","@peteraltmaier",29,6,31,-0.5,-0.866025403784438,"2"
"99",50,"@AndiScheuer","@petertauber",29,91,2,0.99026806874157,0.139173100960065,"1"
"100",50,"@AndiScheuer","@petertauber",29,91,32,-0.374606593415912,-0.927183854566787,"2"
"101",51,"@AndiScheuer","@Ralf_Stegner",29,37,2,0.99026806874157,0.139173100960065,"1"
"102",51,"@AndiScheuer","@Ralf_Stegner",29,37,35,0.0348994967025013,-0.999390827019096,"2"
"103",52,"@AndiScheuer","@RenateKuenast",29,17,2,0.99026806874157,0.139173100960065,"1"
"104",52,"@AndiScheuer","@RenateKuenast",29,17,37,0.309016994374947,-0.951056516295154,"2"
"105",53,"@AndiScheuer","@sigmargabriel",29,4,2,0.99026806874157,0.139173100960065,"1"
"106",53,"@AndiScheuer","@sigmargabriel",29,4,38,0.438371146789077,-0.898794046299167,"2"
"107",54,"@AndiScheuer","@ThomasOppermann",29,11,2,0.99026806874157,0.139173100960065,"1"
"108",54,"@AndiScheuer","@ThomasOppermann",29,11,42,0.848048096156426,-0.529919264233205,"2"
"109",55,"@AndiScheuer","@tsghessen",29,161,2,0.99026806874157,0.139173100960065,"1"
"110",55,"@AndiScheuer","@tsghessen",29,161,43,0.913545457642601,-0.4067366430758,"2"
"111",56,"@AndiScheuer","@Volker_Beck",29,26,2,0.99026806874157,0.139173100960065,"1"
"112",56,"@AndiScheuer","@Volker_Beck",29,26,44,0.961261695938319,-0.275637355816999,"2"
"113",57,"@ArminLaschet","@b_riexinger",39,81,3,0.961261695938319,0.275637355816999,"1"
"114",57,"@ArminLaschet","@b_riexinger",39,81,4,0.913545457642601,0.4067366430758,"2"
"115",58,"@ArminLaschet","@BaerbelHoehn",39,32,3,0.961261695938319,0.275637355816999,"1"
"116",58,"@ArminLaschet","@BaerbelHoehn",39,32,5,0.848048096156426,0.529919264233205,"2"
